               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11991,            0.014576,            0.093079,                   0,                   0,                   0,                   0,             0.11106,            0.011839,            0.088643,             0.00106,             0.00106,             0.09046
                   1,             0.10957,            0.012374,            0.085907,                   0,                   0,                   0,                   0,             0.10462,            0.011537,            0.085366,           0.0021089,           0.0021089,            0.080809
                   2,             0.10267,            0.012281,            0.084987,          0.00063999,           0.0026203,           0.0003855,          9.8365e-05,            0.098613,            0.011876,            0.084643,           0.0031366,           0.0031366,            0.071137
                   3,            0.088242,            0.012782,            0.084125,             0.93797,           0.0058139,           0.0030946,           0.0009365,            0.076284,            0.011693,            0.084177,           0.0041432,           0.0041432,            0.061443
                   4,            0.080044,            0.012666,            0.083885,             0.45198,            0.044699,           0.0048951,           0.0014949,            0.075174,            0.011068,            0.083641,           0.0051285,           0.0051285,            0.051729
                   5,            0.071516,            0.011684,            0.082897,            0.080582,            0.075381,           0.0097405,           0.0039633,            0.068348,            0.010756,            0.083341,           0.0060927,           0.0060927,            0.041993
                   6,            0.067637,            0.011197,            0.082241,             0.40413,            0.055618,             0.01381,           0.0060226,            0.061378,            0.009674,            0.082272,           0.0070357,           0.0070357,            0.032236
                   7,            0.063172,            0.010743,             0.08186,           0.0043513,             0.17299,           0.0032736,           0.0013501,             0.07576,           0.0096707,            0.083993,           0.0079575,           0.0079575,            0.022457
                   8,            0.060189,           0.0097904,            0.081435,            0.060303,             0.16853,            0.017911,           0.0076045,            0.055533,            0.008554,            0.082071,           0.0088581,           0.0088581,            0.012658
                   9,            0.056728,           0.0098063,            0.079529,             0.62766,            0.061157,            0.028823,            0.014682,            0.051906,           0.0079324,            0.080433,            0.009109,            0.009109,            0.009109
                  10,            0.053858,           0.0090996,            0.078592,             0.19929,               0.162,             0.03839,            0.020572,            0.048089,            0.008001,            0.078894,            0.009109,            0.009109,            0.009109
