               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10368,            0.015356,            0.091291,                   0,                   0,                   0,                   0,            0.084623,            0.013663,            0.088732,             0.00106,             0.00106,             0.09046
                   1,            0.067846,            0.015185,            0.086751,            0.038641,            0.099262,            0.011066,           0.0050538,            0.070613,            0.011552,            0.086117,           0.0021089,           0.0021089,            0.080809
                   2,            0.059336,            0.011866,            0.084732,            0.058926,             0.16524,            0.013223,            0.004817,            0.056449,            0.010205,            0.084933,           0.0031366,           0.0031366,            0.071137
                   3,            0.055461,            0.010497,            0.083959,            0.015694,             0.21646,            0.017376,           0.0057285,            0.063701,           0.0085007,            0.084229,           0.0041432,           0.0041432,            0.061443
                   4,            0.051359,           0.0094443,            0.083561,            0.045277,             0.15465,            0.021926,             0.01272,            0.047955,           0.0091189,            0.083811,           0.0051285,           0.0051285,            0.051729
                   5,            0.050558,           0.0086737,            0.081548,             0.26085,             0.19695,             0.05051,            0.021847,            0.047764,           0.0073047,            0.081009,           0.0060927,           0.0060927,            0.041993
                   6,            0.047866,           0.0079836,            0.078473,             0.49909,             0.15396,            0.070862,            0.037659,            0.043797,           0.0066269,            0.077115,           0.0070357,           0.0070357,            0.032236
                   7,            0.047732,           0.0075606,            0.075951,              0.4256,             0.22301,            0.076656,             0.03481,            0.043599,           0.0066729,            0.074973,           0.0079575,           0.0079575,            0.022457
                   8,             0.04857,           0.0077545,             0.07434,             0.39496,             0.21981,            0.084388,            0.046994,            0.043198,           0.0068812,            0.073384,           0.0088581,           0.0088581,            0.012658
                   9,            0.045546,           0.0074595,            0.071507,             0.45364,              0.2217,             0.11587,            0.057693,            0.041532,           0.0065558,            0.069756,            0.009109,            0.009109,            0.009109
                  10,            0.044321,           0.0069816,            0.068582,              0.4199,             0.24031,             0.13057,            0.075938,            0.040347,           0.0059144,            0.067222,            0.009109,            0.009109,            0.009109
                  11,            0.043441,           0.0067834,            0.065722,             0.41148,             0.28287,             0.13562,            0.079292,            0.038939,           0.0059264,            0.066065,             0.00901,             0.00901,             0.00901
                  12,            0.042536,            0.006742,            0.064967,             0.41855,             0.32663,             0.17693,             0.10013,            0.036489,           0.0056217,            0.063056,            0.008911,            0.008911,            0.008911
                  13,            0.041081,           0.0065871,            0.062341,              0.4014,             0.40735,             0.19383,             0.11506,            0.036275,           0.0055004,            0.061165,            0.008812,            0.008812,            0.008812
                  14,            0.042094,           0.0066311,            0.061383,             0.48361,             0.27417,             0.19048,             0.11742,            0.036227,           0.0056909,            0.060707,            0.008713,            0.008713,            0.008713
                  15,            0.040624,           0.0064562,             0.05928,             0.41852,             0.39249,             0.21341,             0.13304,            0.035579,           0.0053591,            0.058892,            0.008614,            0.008614,            0.008614
                  16,            0.040344,           0.0062377,            0.057973,             0.43016,             0.38406,             0.20766,             0.12924,            0.034459,           0.0055252,            0.058232,            0.008515,            0.008515,            0.008515
                  17,            0.040094,           0.0065137,            0.058809,             0.42357,              0.3851,             0.22983,             0.14285,            0.035489,           0.0052484,             0.05704,            0.008416,            0.008416,            0.008416
                  18,            0.039797,           0.0062532,            0.056009,             0.45526,             0.37391,              0.2259,             0.14289,            0.036111,           0.0053519,            0.056815,            0.008317,            0.008317,            0.008317
                  19,            0.039509,           0.0062227,            0.055394,             0.44139,             0.40255,             0.24357,              0.1573,             0.03368,            0.005208,             0.05474,            0.008218,            0.008218,            0.008218
                  20,            0.039337,           0.0061568,            0.054034,             0.50858,             0.37356,             0.25794,             0.16171,            0.033199,            0.005232,            0.054121,            0.008119,            0.008119,            0.008119
                  21,            0.038345,           0.0060612,            0.052945,             0.57928,             0.34458,              0.2832,             0.18239,            0.034194,           0.0050128,            0.052301,             0.00802,             0.00802,             0.00802
                  22,            0.037578,           0.0060174,             0.05294,             0.60055,             0.35507,             0.29788,             0.19196,            0.032011,           0.0049953,            0.051028,            0.007921,            0.007921,            0.007921
                  23,            0.037783,           0.0059644,            0.051878,             0.59896,              0.3965,             0.31674,             0.20131,            0.031715,           0.0049204,             0.04998,            0.007822,            0.007822,            0.007822
                  24,            0.038105,           0.0058807,            0.050432,             0.59639,               0.366,             0.30837,             0.20185,            0.031225,           0.0048954,            0.049606,            0.007723,            0.007723,            0.007723
                  25,            0.037234,           0.0058915,            0.049759,             0.56258,             0.40111,             0.31818,             0.21019,            0.031654,           0.0048053,            0.048403,            0.007624,            0.007624,            0.007624
                  26,            0.038329,           0.0057576,            0.049208,             0.61437,             0.36806,             0.30859,             0.19659,            0.032441,           0.0051704,            0.048128,            0.007525,            0.007525,            0.007525
                  27,            0.037969,           0.0059162,            0.048826,              0.6508,             0.34634,             0.32386,              0.2111,            0.031808,           0.0049804,             0.04757,            0.007426,            0.007426,            0.007426
                  28,            0.038078,           0.0058786,            0.048652,             0.57814,             0.38964,             0.34118,             0.22496,            0.031641,           0.0049452,            0.047346,            0.007327,            0.007327,            0.007327
                  29,            0.037527,            0.005784,            0.048476,             0.58568,             0.39358,             0.34962,              0.2364,            0.031305,           0.0047278,            0.046514,            0.007228,            0.007228,            0.007228
                  30,            0.037342,           0.0059112,            0.048077,             0.57886,             0.40142,             0.33994,             0.22696,             0.03078,           0.0049635,            0.046219,            0.007129,            0.007129,            0.007129
                  31,            0.037612,           0.0056816,            0.045524,             0.60398,             0.41348,             0.36219,             0.23691,            0.031257,           0.0049085,            0.045087,             0.00703,             0.00703,             0.00703
                  32,             0.03719,           0.0057418,            0.045917,              0.5782,             0.41551,              0.3711,             0.24725,            0.029673,           0.0046811,            0.044293,            0.006931,            0.006931,            0.006931
                  33,            0.036321,           0.0056389,            0.045304,             0.59505,             0.43719,             0.37862,             0.25501,              0.0297,           0.0046553,            0.043765,            0.006832,            0.006832,            0.006832
                  34,            0.036228,           0.0055497,            0.044433,             0.64042,              0.4091,             0.38488,             0.25749,            0.031961,           0.0046513,            0.044109,            0.006733,            0.006733,            0.006733
                  35,            0.036961,           0.0057164,            0.044424,             0.55093,             0.47783,             0.39307,             0.26471,            0.029417,           0.0045967,            0.043097,            0.006634,            0.006634,            0.006634
                  36,            0.036888,           0.0057011,            0.044295,             0.63211,             0.41707,              0.3884,             0.26248,            0.030777,           0.0046439,            0.043421,            0.006535,            0.006535,            0.006535
                  37,            0.036945,           0.0055862,            0.043935,             0.63349,             0.42675,             0.40059,             0.26902,            0.029731,           0.0046825,            0.042113,            0.006436,            0.006436,            0.006436
                  38,            0.036073,           0.0055845,            0.043511,             0.55165,             0.45003,             0.40845,             0.27934,             0.02809,           0.0045896,            0.041638,            0.006337,            0.006337,            0.006337
                  39,            0.035606,           0.0055236,             0.04265,             0.60694,             0.44177,             0.42186,             0.29179,            0.028111,           0.0044943,            0.040582,            0.006238,            0.006238,            0.006238
                  40,            0.035806,           0.0054732,            0.042031,             0.61952,             0.44819,             0.42594,             0.29093,            0.029581,           0.0044868,            0.040264,            0.006139,            0.006139,            0.006139
                  41,             0.03673,            0.005595,            0.041935,             0.58345,             0.42447,              0.3954,             0.27434,            0.028659,           0.0046537,             0.04155,             0.00604,             0.00604,             0.00604
                  42,            0.035736,           0.0055152,            0.041698,             0.62477,             0.42012,             0.41264,             0.28674,            0.028366,             0.00454,            0.040534,            0.005941,            0.005941,            0.005941
                  43,            0.034945,           0.0055718,            0.041023,             0.51853,             0.51605,             0.44174,             0.30805,            0.027659,           0.0044142,            0.039097,            0.005842,            0.005842,            0.005842
